name,place,url,latitude,longitude
日本大学生物資源科学部マジック＆ジャグリングサークル JACK-BOX,日本大学生物資源科学部本館と12号館の間,https://twitter.com/nubs_jack_box,35.38082173,139.4703125
横濱大道芸俱楽部 (YDC),横浜市立本町小学校 体育館,http://ydc1999.com/,35.45064436,139.6284648
新潟ジャグリング練習会,川西総合体育館、その他県内各所,https://twitter.com/moonzrsvp,37.17447165,138.7449261
新潟バルーン＆ジャグリングサークル 芸工房,新潟市南区白根地域生活センター体育館（冬季は視聴覚室）,https://geikoubou.jimdofree.com/,37.76575529,139.0198582
福井大学ジャグリング同好会acRue,福井大学文京キャンパス内 広場他,http://acrue.s602.xrea.com/,36.07625384,136.2127897
富山大学大道芸クラブ　バイシクル,富山大学五福キャンパス学生会館,https://toyama-daidogei.jimdofree.com/,36.70005797,137.187078
金大JMC（ジャグリング＆マジックサークル）,金沢大学　大学会館屋上,https://twitter.com/kindaijmc,36.54590775,136.7075992
MJC まつもとジャグリングクラブ,松本市本郷公民館,http://mjc-k.com,36.26328992,137.9869479
ジャグリングサークル 百万石,金沢市教育プラザ富樫体育館,http://100man-jug.com,36.5379521,136.6419421
静岡大学大道芸サークルすぱ,静岡大学浜松キャンパス体育館、佐鳴会館ホール,https://twitter.com/circlesupa,34.72386353,137.7178813
静岡 大道芸サークル WapS,静岡市立中田小学校 体育館,https://waps-juggling.jimdofree.com/,34.96386432,138.3923529
沼津大道芸倶楽部,沼津市立金岡小学校ひまわりホール,https://twitter.com/2u4u428u,35.14892633,138.7744069
浜松ジャグリングサークル TNJ,舞阪総合体育館,https://twitter.com/tnjjn,34.67938733,137.6128453
浜松スポーツジャグリングサークル じゃぐなぎ,浜松市長上協働センター,http://fine.tok2.com/home/ryuhan/hamajug/index.html,34.74694208,137.7680055
宮ジャグ！,富士宮市民体育館 柔道場,https://twitter.com/MIYA_JUGG,35.2601755,138.6093835
エンターテイメントサークル VolBox,愛知大学名古屋キャンパス1階キャンパスモール、堀止緑地公園,https://twitter.com/aichiu_VolBox,35.16123168,136.8846695
大道芸サークル Boochi Box,日本福祉大学美浜キャンパス11号館横ステージ,https://twitter.com/boochibox,34.78344812,136.8693948
三重大学ジャグリングサークル「ジャグリアーノ！」,三重大学 三翠ホール,https://juggliano.wixsite.com/juggliano,34.74302136,136.5250686
野洲ジャグリングサークル メロンボール,野洲市総合体育館 柔道場,https://juggling-melon-ball.hatenablog.com/,35.08839275,136.0291737
京都大道芸倶楽部 Juggling Donuts,京都大学総合体育館 サブフロア,https://juggling-donuts.org/,35.02624441,135.7808243
同志社大学マジック＆ジャグリングサークルHocus-Pocus,同志社大学京田辺キャンパス,http://dhocuspocus.web.fc2.com/,34.80112513,135.7684002
パフォーマンスサークル SHIKIBU,東宇治コミュニティセンター,https://juggling-circle.wixsite.com/shikibu,34.91657765,135.8035087
大阪工業大学ジャグリングクラブ TOSS,大阪工業大学枚方キャンパス2号館1階 211多目的室,https://jugglingclubtoss.wixsite.com/toss,34.84057966,135.7044264
大阪大学ジャグリングサークル Patio,豊中キャンパス,http://www.patio-web.net/,34.8060351,135.4541501
交野高校ジャグリング部,交野高等学校,https://twitter.com/jugglingkjc,34.78160487,135.6888483
産地直送,大阪市中央卸売市場 体育館,https://mobile.twitter.com/jugosaka,34.68434663,135.4777159
ジャグリング・ユニット・フラトレス,大阪市立芸術創造館,http://fratres-juggling.com/,34.72114791,135.5425184
きぞは工房,尼崎市立すこやかプラザ内多目的ホール,https://www.boxmith.com,34.73668333,135.399889
神戸ジャグリングクラブ「moai」（南須磨公民館）,神戸市立南須磨公民館,https://moai-juggling.jimdofree.com/,34.6487976,135.1333322
神戸ジャグリングクラブ「moai」（清風公民館）,清風公民館,https://moai-juggling.jimdofree.com/,34.68646453,135.1743931
OJC 岡山ジャグリングクラブ,清輝小学校体育館,https://twitter.com/okayamajuggling,34.65044416,133.9264943
岡山県立大学奇術部 Magical Magica,岡山県立大学,https://twitter.com/mgclmgc_opu,34.69268137,133.7816301
修道ジャグリング同好会 Cortile,修道学園の中庭、スポーツセンター、公園など,https://twitter.com/shudojug,34.3727975,132.4573971
さぬき de ポイ☆,高松中央公園,https://www.facebook.com/sanupoi/,34.34132202,134.0465935
高知工科大学ジャグリング部,高知工科大学または鏡野公園（大学に隣接）,https://twitter.com/kutj1105,33.6206845,133.7198126
春日ジャグリング,春日原小学校体育館,https://sites.google.com/site/kasugajuggling/,33.53359633,130.4726437
九州工業大学ジャグリングクラブ ピルエット,九州工業大学情報工学部体育館,https://twitter.com/kitpirouette,33.65348444,130.6726742
九州大学ジャグリング部 9JUC,九州大学伊都キャンパス内（主に小体育館）、天神中央公園,https://9juc.jimdofree.com/,33.59828537,130.218245
熊本大学ジャグリングサークル Ducks！,熊本大学 黒髪キャンパス,https://twitter.com/ducks_ku,32.81560547,130.7277194
スタジオジャグリ,琉球大学 球陽橋下ステージ,https://studiojuggle.wixsite.com/studiojuggle,26.24909577,127.7661719
